iter	Passed	Remaining
727	1973	737
728	1974	734
729	1976	730
730	1977	727
731	1981	725
732	1982	722
733	1984	719
734	1985	715
735	1987	712
736	1988	709
737	2000	710
738	2001	707
739	2003	703
740	2004	700
741	2006	697
742	2007	694
743	2009	691
744	2012	689
745	2014	685
746	2016	682
747	2018	679
748	2020	676
749	2021	673
750	2023	670
751	2027	668
752	2029	665
753	2030	662
754	2032	659
755	2056	663
756	2060	661
757	2061	658
758	2063	655
759	2064	651
760	2066	648
761	2067	645
762	2068	642
763	2070	639
764	2071	636
765	2075	634
766	2077	630
767	2078	627
768	2079	624
769	2081	621
770	2082	618
771	2084	615
772	2085	612
773	2087	609
774	2098	609
775	2114	610
776	2116	607
777	2117	604
778	2119	601
779	2121	598
780	2123	595
781	2124	592
782	2126	589
783	2127	586
784	2130	583
785	2131	580
786	2133	577
787	2142	576
788	2143	573
789	2145	570
790	2146	567
791	2147	564
792	2164	564
793	2165	561
794	2168	559
795	2171	556
796	2172	553
797	2174	550
798	2175	547
799	2176	544
800	2178	541
801	2179	538
802	2181	535
803	2184	532
804	2186	529
805	2187	526
806	2189	523
807	2190	520
808	2191	517
809	2193	514
810	2194	511
811	2219	513
812	2221	510
813	2222	507
814	2223	504
815	2225	501
816	2226	498
817	2228	495
818	2229	492
819	2233	490
820	2234	487
821	2236	484
822	2237	481
823	2239	478
824	2241	475
825	2243	472
826	2246	469
827	2248	467
828	2249	464
829	2251	461
830	2252	458
831	2270	458
832	2283	457
833	2285	454
834	2286	451
835	2288	448
836	2290	446
837	2292	443
838	2294	440
839	2295	437
840	2298	434
841	2300	431
842	2301	428
843	2302	425
844	2304	422
845	2308	420
846	2309	417
847	2311	414
848	2312	411
849	2314	408
850	2359	413
851	2363	410
852	2365	407
853	2366	404
854	2368	401
855	2369	398
856	2373	396
857	2375	393
858	2376	390
859	2377	387
860	2379	384
861	2380	381
862	2382	378
863	2385	375
864	2389	372
865	2391	369
866	2392	367
867	2425	368
868	2427	365
869	2429	363
870	2431	360
871	2432	357
872	2436	354
873	2438	351
874	2439	348
875	2442	345
876	2443	342
877	2445	339
878	2447	336
879	2448	333
880	2451	331
881	2453	328
882	2454	325
883	2456	322
884	2476	321
885	2477	318
886	2479	315
887	2483	313
888	2484	310
889	2486	307
890	2487	304
891	2489	301
892	2490	298
893	2491	295
894	2493	292
895	2494	289
896	2499	287
897	2501	284
898	2502	281
899	2504	278
900	2505	275
901	2506	272
902	2508	269
903	2516	267
904	2519	264
905	2551	264
906	2553	261
907	2554	258
908	2555	255
909	2557	252
910	2558	249
911	2561	247
912	2562	244
913	2564	241
914	2565	238
915	2567	235
916	2568	232
917	2570	229
918	2571	226
919	2573	223
920	2575	220
921	2578	218
922	2579	215
923	2581	212
924	2617	212
925	2619	209
926	2621	206
927	2622	203
928	2633	201
929	2636	198
930	2637	195
931	2640	192
932	2643	189
933	2644	186
934	2646	183
935	2647	181
936	2649	178
937	2651	175
938	2653	172
939	2658	169
940	2661	166
941	2662	163
942	2664	161
943	2667	158
944	2672	155
945	2677	152
946	2680	150
947	2683	147
948	2689	144
949	2693	141
950	2695	138
951	2696	135
952	2698	133
953	2699	130
954	2704	127
955	2706	124
956	2736	122
957	2739	120
958	2741	117
959	2743	114
960	2744	111
961	2746	108
962	2747	105
963	2754	102
964	2756	99
965	2757	97
966	2759	94
967	2761	91
968	2763	88
969	2769	85
970	2771	82
971	2773	79
972	2775	77
973	2777	74
974	2793	71
975	2795	68
976	2800	65
977	2801	63
978	2803	60
979	2805	57
980	2807	54
981	2809	51
982	2811	48
983	2814	45
984	2816	42
985	2817	40
986	2819	37
987	2820	34
988	2821	31
989	2823	28
990	2825	25
991	2853	23
992	2854	20
993	2855	17
994	2857	14
995	2858	11
996	2863	8
997	2864	5
998	2866	2
999	2868	0
